Time, ax, ay, az, gx, gy, gz
0.000018, -248, -2012, -908, -2882, 111, 170
0.000186, -248, -2012, -908, -2882, 111, 170
0.000326, -248, -2012, -908, -2882, 111, 170
0.000464, -248, -2012, -908, -2882, 111, 170
0.000602, -248, -2012, -908, -2882, 111, 170
0.000760, -193, -2033, -782, -3626, 126, 192
0.000898, -193, -2033, -782, -3626, 126, 192
0.001036, -193, -2033, -782, -3626, 126, 192
0.001175, -193, -2033, -782, -3626, 126, 192
0.001313, -193, -2033, -782, -3626, 126, 192
0.001452, -193, -2033, -782, -3626, 126, 192
0.001590, -193, -2033, -782, -3626, 126, 192
0.001722, -141, -2059, -191, -4035, 96, 237
0.001862, -141, -2059, -191, -4035, 96, 237
0.002001, -141, -2059, -191, -4035, 96, 237
0.002139, -141, -2059, -191, -4035, 96, 237
0.002277, -141, -2059, -191, -4035, 96, 237
0.002416, -141, -2059, -191, -4035, 96, 237
0.002554, -141, -2059, -191, -4035, 96, 237
0.002692, -141, -2059, -191, -4035, 96, 237
0.002830, -110, -2054, 108, -4116, 51, 298
0.002972, -110, -2054, 108, -4116, 51, 298
0.003110, -110, -2054, 108, -4116, 51, 298
0.003249, -110, -2054, 108, -4116, 51, 298
0.003387, -110, -2054, 108, -4116, 51, 298
0.003525, -110, -2054, 108, -4116, 51, 298
0.003664, -110, -2054, 108, -4116, 51, 298
0.003801, -100, -2062, 94, -4110, 12, 373
0.003943, -100, -2062, 94, -4110, 12, 373
0.004081, -100, -2062, 94, -4110, 12, 373
0.004219, -100, -2062, 94, -4110, 12, 373
0.004358, -100, -2062, 94, -4110, 12, 373
0.004496, -100, -2062, 94, -4110, 12, 373
0.004634, -100, -2062, 94, -4110, 12, 373
0.004773, -87, -2079, 132, -4043, -17, 457
0.004911, -87, -2079, 132, -4043, -17, 457
0.005050, -87, -2079, 132, -4043, -17, 457
0.005189, -87, -2079, 132, -4043, -17, 457
0.005328, -87, -2079, 132, -4043, -17, 457
0.005467, -87, -2079, 132, -4043, -17, 457
0.005605, -87, -2079, 132, -4043, -17, 457
0.005744, -87, -2079, 132, -4043, -17, 457
0.005881, -66, -2089, 346, -3876, 46, 525
0.006022, -66, -2089, 346, -3876, 46, 525
0.006160, -66, -2089, 346, -3876, 46, 525
0.006298, -66, -2089, 346, -3876, 46, 525
0.006437, -66, -2089, 346, -3876, 46, 525
0.006571, -66, -2089, 346, -3876, 46, 525
0.006709, -66, -2089, 346, -3876, 46, 525
0.006848, 22, -2137, 1138, -3496, 205, 538
0.006989, 22, -2137, 1138, -3496, 205, 538
0.007127, 22, -2137, 1138, -3496, 205, 538
0.007265, 22, -2137, 1138, -3496, 205, 538
0.007404, 22, -2137, 1138, -3496, 205, 538
0.007542, 22, -2137, 1138, -3496, 205, 538
0.007680, 22, -2137, 1138, -3496, 205, 538
0.007818, 265, -2197, 3289, -2292, 346, 407
0.007960, 265, -2197, 3289, -2292, 346, 407
0.008098, 265, -2197, 3289, -2292, 346, 407
0.008236, 265, -2197, 3289, -2292, 346, 407
0.008375, 265, -2197, 3289, -2292, 346, 407
0.008513, 265, -2197, 3289, -2292, 346, 407
0.008651, 265, -2197, 3289, -2292, 346, 407
0.008790, 265, -2197, 3289, -2292, 346, 407
0.008929, 466, -2170, 5056, 255, 450, 28
0.009070, 466, -2170, 5056, 255, 450, 28
0.009208, 466, -2170, 5056, 255, 450, 28
0.009345, 466, -2170, 5056, 255, 450, 28
0.009482, 466, -2170, 5056, 255, 450, 28
0.009619, 466, -2170, 5056, 255, 450, 28
0.009756, 466, -2170, 5056, 255, 450, 28
0.009894, 222, -2101, 3262, 2824, 704, -473
0.010035, 222, -2101, 3262, 2824, 704, -473
