Time, ax, ay, az, gx, gy, gz
0.000017, 392, 287, 2379, -1675, 69, 5613
0.000182, 392, 287, 2379, -1675, 69, 5613
0.000322, -233, 198, 2024, -2006, -142, 5511
0.000464, -233, 198, 2024, -2006, -142, 5511
0.000602, -233, 198, 2024, -2006, -142, 5511
0.000739, -233, 198, 2024, -2006, -142, 5511
0.000880, -233, 198, 2024, -2006, -142, 5511
0.001017, -233, 198, 2024, -2006, -142, 5511
0.001159, -233, 198, 2024, -2006, -142, 5511
0.001296, -59, 206, 2036, -2096, -625, 5568
0.001433, -59, 206, 2036, -2096, -625, 5568
0.001570, -59, 206, 2036, -2096, -625, 5568
0.001714, -59, 206, 2036, -2096, -625, 5568
0.001851, -59, 206, 2036, -2096, -625, 5568
0.001988, -59, 206, 2036, -2096, -625, 5568
0.002125, -59, 206, 2036, -2096, -625, 5568
0.002262, -59, 206, 2036, -2096, -625, 5568
0.002399, 52, 191, 2014, -2002, -1326, 5420
0.002536, 52, 191, 2014, -2002, -1326, 5420
0.002673, 52, 191, 2014, -2002, -1326, 5420
0.002810, 52, 191, 2014, -2002, -1326, 5420
0.002947, 52, 191, 2014, -2002, -1326, 5420
0.003084, 52, 191, 2014, -2002, -1326, 5420
0.003220, 52, 191, 2014, -2002, -1326, 5420
0.003357, 244, 172, 2011, -1852, -1907, 5230
0.003494, 244, 172, 2011, -1852, -1907, 5230
0.003631, 244, 172, 2011, -1852, -1907, 5230
0.003768, 244, 172, 2011, -1852, -1907, 5230
0.003905, 244, 172, 2011, -1852, -1907, 5230
0.004042, 244, 172, 2011, -1852, -1907, 5230
0.004178, 244, 172, 2011, -1852, -1907, 5230
0.004315, 244, 172, 2011, -1852, -1907, 5230
0.004452, 865, 196, 2163, -1749, -2027, 4941
0.004589, 865, 196, 2163, -1749, -2027, 4941
0.004726, 865, 196, 2163, -1749, -2027, 4941
0.004863, 865, 196, 2163, -1749, -2027, 4941
0.005000, 865, 196, 2163, -1749, -2027, 4941
0.005137, 865, 196, 2163, -1749, -2027, 4941
0.005276, 865, 196, 2163, -1749, -2027, 4941
0.005413, 1873, 261, 2301, -1670, -1731, 4232
0.005551, 1873, 261, 2301, -1670, -1731, 4232
0.005688, 1873, 261, 2301, -1670, -1731, 4232
0.005826, 1873, 261, 2301, -1670, -1731, 4232
0.005963, 1873, 261, 2301, -1670, -1731, 4232
0.006099, 1873, 261, 2301, -1670, -1731, 4232
0.006236, 1873, 261, 2301, -1670, -1731, 4232
0.006376, 2423, 268, 2217, -1569, -1124, 2934
0.006515, 2423, 268, 2217, -1569, -1124, 2934
0.006652, 2423, 268, 2217, -1569, -1124, 2934
0.006789, 2423, 268, 2217, -1569, -1124, 2934
0.006926, 2423, 268, 2217, -1569, -1124, 2934
0.007063, 2423, 268, 2217, -1569, -1124, 2934
0.007200, 2423, 268, 2217, -1569, -1124, 2934
0.007337, 2423, 268, 2217, -1569, -1124, 2934
0.007473, 1697, 112, 2005, -1511, -259, 1568
0.007610, 1697, 112, 2005, -1511, -259, 1568
0.007747, 1697, 112, 2005, -1511, -259, 1568
0.007884, 1697, 112, 2005, -1511, -259, 1568
0.008021, 1697, 112, 2005, -1511, -259, 1568
0.008158, 1697, 112, 2005, -1511, -259, 1568
0.008295, 1697, 112, 2005, -1511, -259, 1568
0.008431, 1708, 121, 2194, -1363, 575, 664
0.008569, 1708, 121, 2194, -1363, 575, 664
0.008705, 1708, 121, 2194, -1363, 575, 664
0.008842, 1708, 121, 2194, -1363, 575, 664
0.008979, 1708, 121, 2194, -1363, 575, 664
0.009116, 1708, 121, 2194, -1363, 575, 664
0.009253, 1708, 121, 2194, -1363, 575, 664
0.009389, 4191, 405, 2425, -1008, 1172, -819
0.009527, 4191, 405, 2425, -1008, 1172, -819
0.009664, 4191, 405, 2425, -1008, 1172, -819
0.009801, 4191, 405, 2425, -1008, 1172, -819
0.009938, 4191, 405, 2425, -1008, 1172, -819
0.010075, 4191, 405, 2425, -1008, 1172, -819
0.010212, 4191, 405, 2425, -1008, 1172, -819
0.010349, 4191, 405, 2425, -1008, 1172, -819
0.010485, 4323, 184, 1889, -843, 1796, -3790
0.010622, 4323, 184, 1889, -843, 1796, -3790
0.010759, 4323, 184, 1889, -843, 1796, -3790
0.010896, 4323, 184, 1889, -843, 1796, -3790
0.011033, 4323, 184, 1889, -843, 1796, -3790
0.011170, 4323, 184, 1889, -843, 1796, -3790
0.011307, 4323, 184, 1889, -843, 1796, -3790
0.011443, -2323, -372, 1642, -836, 2775, -5326
0.011580, -2323, -372, 1642, -836, 2775, -5326
0.011717, -2323, -372, 1642, -836, 2775, -5326
0.011854, -2323, -372, 1642, -836, 2775, -5326
0.011991, -2323, -372, 1642, -836, 2775, -5326
0.012128, -2323, -372, 1642, -836, 2775, -5326
0.012264, -2323, -372, 1642, -836, 2775, -5326
0.012401, -2323, -372, 1642, -836, 2775, -5326
0.012567, -7455, 77, 1871, -422, 3569, -2374
0.012707, -7455, 77, 1871, -422, 3569, -2374
0.012845, -7455, 77, 1871, -422, 3569, -2374
0.012982, -7455, 77, 1871, -422, 3569, -2374
0.013119, -7455, 77, 1871, -422, 3569, -2374
0.013255, -7455, 77, 1871, -422, 3569, -2374
0.013392, -7455, 77, 1871, -422, 3569, -2374
0.013529, -4368, 729, 1630, -101, 3262, 1812
0.013666, -4368, 729, 1630, -101, 3262, 1812
0.013803, -4368, 729, 1630, -101, 3262, 1812
0.013940, -4368, 729, 1630, -101, 3262, 1812
0.014077, -4368, 729, 1630, -101, 3262, 1812
0.014213, -4368, 729, 1630, -101, 3262, 1812
0.014350, -4368, 729, 1630, -101, 3262, 1812
0.014487, -1187, 421, 1772, -540, 2124, 3406
0.014624, -1187, 421, 1772, -540, 2124, 3406
0.014761, -1187, 421, 1772, -540, 2124, 3406
0.014898, -1187, 421, 1772, -540, 2124, 3406
0.015035, -1187, 421, 1772, -540, 2124, 3406
0.015171, -1187, 421, 1772, -540, 2124, 3406
0.015308, -1187, 421, 1772, -540, 2124, 3406
0.015445, -1187, 421, 1772, -540, 2124, 3406
0.015582, -1247, 214, 2287, -1302, 1008, 3983
0.015719, -1247, 214, 2287, -1302, 1008, 3983
0.015855, -1247, 214, 2287, -1302, 1008, 3983
0.015992, -1247, 214, 2287, -1302, 1008, 3983
0.016129, -1247, 214, 2287, -1302, 1008, 3983
0.016266, -1247, 214, 2287, -1302, 1008, 3983
0.016403, -1247, 214, 2287, -1302, 1008, 3983
0.016539, -764, 315, 2287, -1909, 171, 4806
0.016677, -764, 315, 2287, -1909, 171, 4806
0.016813, -764, 315, 2287, -1909, 171, 4806
0.016950, -764, 315, 2287, -1909, 171, 4806
0.017087, -764, 315, 2287, -1909, 171, 4806
0.017224, -764, 315, 2287, -1909, 171, 4806
