Time, ax, ay, az, gx, gy, gz
0.000460, -175, 82, 1954, -578, 5971, -939
0.001783, -186, 83, 1964, -596, 5971, -965
0.002994, -198, 77, 1966, -627, 5947, -1014
0.004253, -222, 63, 1981, -631, 5932, -1039
0.005523, -249, 64, 1985, -629, 5917, -1060
0.007294, -288, 58, 1990, -615, 5888, -1108
0.008408, -317, 44, 1991, -604, 5876, -1134
0.009574, -347, 33, 1992, -595, 5865, -1160
0.010673, -367, 30, 2000, -584, 5854, -1176
0.011854, -387, 22, 2001, -576, 5842, -1179
0.013121, -407, 20, 2016, -554, 5814, -1168
0.014219, -414, 13, 2017, -543, 5802, -1153
0.015402, -423, 10, 2020, -535, 5791, -1132
0.016497, -431, 8, 2016, -520, 5782, -1113
0.017682, -442, 13, 1971, -499, 5777, -1099
0.018781, -450, 24, 2013, -482, 5777, -1089
0.019963, -447, 10, 2000, -472, 5771, -1084
0.021058, -453, 7, 2006, -470, 5755, -1084
0.022243, -465, 6, 2007, -444, 5744, -1078
0.023510, -476, 12, 2016, -428, 5745, -1077
0.024607, -480, 16, 2002, -416, 5745, -1084
0.025791, -497, 15, 2000, -394, 5742, -1092
0.026886, -514, 15, 2001, -370, 5731, -1097
0.028071, -527, 22, 1997, -349, 5717, -1101
0.029168, -545, 20, 1989, -332, 5707, -1109
0.030352, -563, 15, 1987, -300, 5684, -1126
0.031466, -572, -2, 1992, -286, 5669, -1127
0.032632, -584, 1, 1999, -279, 5651, -1127
0.033735, -587, -6, 2004, -275, 5633, -1124
0.034913, -583, 0, 2009, -270, 5619, -1115
0.036013, -592, -6, 2005, -263, 5615, -1106
0.037193, -593, -1, 2011, -254, 5614, -1093
0.038295, -607, 7, 2014, -247, 5616, -1081
0.039474, -611, -3, 2029, -243, 5643, -1060
0.040573, -671, 1, 2044, -240, 5658, -1041
0.041754, -599, 10, 1966, -231, 5665, -1018
0.042854, -600, 20, 2017, -214, 5636, -986
0.044035, -602, 2, 2088, -195, 5598, -942
0.045135, -614, 8, 2078, -211, 5619, -898
0.046315, -611, 6, 2045, -249, 5678, -870
0.047417, -599, 16, 2077, -246, 5721, -848
0.048596, -576, 12, 2094, -197, 5744, -779
0.049696, -569, 18, 2080, -192, 5760, -734
0.050876, -568, 17, 2086, -177, 5784, -695
0.051976, -567, 18, 2096, -154, 5805, -671
0.053157, -552, 23, 2099, -135, 5826, -654
0.054253, -546, 28, 2097, -125, 5848, -631
0.055437, -525, 24, 2101, -116, 5867, -602
0.056544, -517, 21, 2109, -102, 5880, -576
0.057718, -493, 24, 2113, -78, 5908, -524
0.058818, -481, 27, 2111, -58, 5928, -507
0.059998, -471, 19, 2117, -39, 5952, -496
0.061097, -462, 22, 2116, -21, 5977, -488
0.062279, -459, 19, 2115, 2, 6000, -484
0.063376, -455, 29, 2115, 25, 6022, -483
0.064559, -449, 37, 2115, 50, 6045, -484
0.065658, -439, 41, 2115, 78, 6065, -483
0.066840, -445, 41, 2102, 123, 6105, -487
0.067938, -449, 39, 2103, 147, 6124, -492
0.069120, -449, 39, 2099, 177, 6139, -493
0.070217, -442, 41, 2098, 203, 6156, -493
0.071400, -433, 44, 2102, 225, 6173, -490
0.072498, -428, 36, 2087, 250, 6190, -484
0.073681, -417, 42, 2074, 277, 6207, -472
0.074779, -414, 34, 2063, 304, 6227, -459
0.076469, -406, 48, 2044, 356, 6282, -456
0.077735, -404, 56, 2021, 383, 6305, -461
0.079509, -406, 71, 1991, 430, 6351, -481
0.080777, -414, 83, 1961, 449, 6370, -492
0.082043, -424, 91, 1944, 472, 6406, -523
0.083160, -424, 102, 1919, 476, 6421, -525
0.084324, -429, 108, 1904, 477, 6428, -529
0.085429, -424, 111, 1905, 473, 6434, -537
0.086604, -417, 105, 1903, 463, 6439, -531
0.087705, -411, 97, 1901, 449, 6448, -517
0.088884, -405, 93, 1894, 438, 6467, -504
0.089984, -404, 99, 1889, 435, 6496, -493
0.091165, -420, 97, 1868, 423, 6565, -482
0.092271, -441, 100, 1862, 420, 6607, -484
0.093445, -449, 105, 1849, 414, 6651, -488
0.094546, -464, 101, 1846, 402, 6699, -492
0.095726, -473, 108, 1837, 385, 6744, -492
0.096825, -486, 119, 1834, 361, 6788, -485
0.098006, -504, 122, 1842, 332, 6833, -474
0.099105, -514, 121, 1837, 298, 6878, -459
0.100287, -522, 127, 1846, 232, 6960, -425
0.101382, -527, 116, 1857, 198, 7003, -405
0.102567, -530, 119, 1859, 162, 7041, -381
0.103667, -527, 103, 1873, 136, 7077, -357
0.104848, -525, 99, 1877, 117, 7112, -333
0.105948, -521, 96, 1880, 103, 7153, -302
0.107128, -527, 100, 1865, 93, 7202, -266
0.108228, -528, 108, 1862, 84, 7250, -233
0.109409, -532, 114, 1847, 70, 7354, -165
0.110507, -544, 119, 1839, 65, 7406, -136
0.112197, -570, 124, 1827, 53, 7455, -110
0.113302, -581, 131, 1815, 33, 7503, -82
0.114477, -605, 134, 1823, -8, 7586, -25
0.115576, -608, 136, 1816, -30, 7623, 2
0.116757, -624, 133, 1826, -53, 7658, 33
0.117854, -627, 131, 1831, -78, 7691, 67
0.119042, -633, 121, 1850, -98, 7725, 102
0.120144, -633, 121, 1866, -112, 7762, 137
0.121318, -625, 115, 1871, -124, 7802, 176
0.122414, -622, 111, 1881, -133, 7853, 215
0.123599, -606, 103, 1894, -145, 7973, 289
0.124698, -589, 95, 1899, -151, 8036, 324
0.125879, -592, 98, 1906, -150, 8102, 353
0.126979, -589, 101, 1913, -147, 8171, 378
0.128159, -593, 95, 1926, -146, 8244, 400
0.129266, -595, 97, 1925, -145, 8316, 421
0.130440, -599, 92, 1942, -142, 8385, 441
0.131542, -605, 96, 1953, -136, 8450, 461
0.132721, -614, 96, 1962, -118, 8566, 499
0.133820, -605, 92, 1975, -107, 8626, 517
0.135001, -611, 89, 1970, -90, 8687, 536
0.136268, -606, 95, 1974, -69, 8747, 557
0.137368, -596, 92, 1969, -48, 8801, 582
0.138548, -589, 90, 1955, -24, 8851, 608
0.140070, -582, 98, 1948, 33, 8935, 656
0.141337, -573, 100, 1925, 58, 8970, 677
0.142456, -566, 106, 1925, 82, 9004, 696
0.145423, -535, 111, 1897, 131, 9101, 734
0.146658, -534, 120, 1889, 147, 9126, 744
0.147926, -525, 129, 1884, 175, 9171, 751
0.149193, -519, 126, 1871, 186, 9184, 745
0.150459, -509, 120, 1867, 196, 9196, 733
0.151726, -506, 123, 1854, 210, 9207, 721
0.153500, -513, 129, 1821, 250, 9210, 669
0.155313, -525, 129, 1813, 262, 9205, 644
0.156540, -544, 110, 1788, 269, 9198, 621
0.158061, -583, 113, 1772, 268, 9173, 555
0.159327, -606, 104, 1759, 267, 9155, 528
0.160852, -646, 104, 1743, 268, 9138, 510
0.162369, -678, 100, 1744, 260, 9098, 491
0.163635, -701, 100, 1745, 249, 9077, 478
0.164902, -725, 92, 1755, 234, 9064, 471
0.166168, -746, 87, 1765, 198, 9053, 466
0.167436, -763, 77, 1765, 182, 9052, 469
0.168703, -786, 64, 1771, 166, 9061, 477
0.171237, -810, 53, 1785, 128, 9127, 530
0.172359, -832, 51, 1782, 115, 9154, 556
0.173517, -850, 52, 1784, 100, 9184, 592
0.174784, -865, 54, 1788, 90, 9216, 630
0.176051, -882, 53, 1791, 81, 9246, 671
0.177318, -892, 58, 1796, 58, 9305, 769
0.178429, -908, 61, 1795, 46, 9330, 816
0.179598, -932, 60, 1807, 35, 9353, 865
0.180709, -936, 60, 1814, 28, 9377, 920
0.181879, -953, 59, 1820, 20, 9396, 976
0.182991, -960, 62, 1825, 11, 9414, 1032
0.184159, -974, 58, 1843, 6, 9438, 1092
0.185451, -980, 52, 1842, 3, 9482, 1207
0.186693, -990, 46, 1844, 5, 9501, 1266
0.187961, -991, 53, 1846, 11, 9524, 1323
0.189075, -992, 44, 1849, 19, 9551, 1375
0.190240, -996, 50, 1845, 25, 9578, 1428
0.191351, -999, 51, 1857, 30, 9606, 1482
0.192521, -997, 45, 1859, 57, 9677, 1587
0.193634, -999, 50, 1860, 74, 9719, 1643
